ticket_id,source,external_id,url,title,pred_vertical_slug,pred_vertical_name,confidence,gold_vertical_slug,gold_vertical_name
866,zendesk,658042,https://nium2956.zendesk.com/agent/tickets/658042,Purpose code for AE bank payouts,payouts-reliability-api,Payouts Reliability and API Experience,0.669,,
1516,zendesk,710485,https://nium2956.zendesk.com/agent/tickets/710485,(RFI) SWIFT message from SWEDSESSXXX ref. CL506114/I,swift-connect,Swift Connect,0.6946,,
1229,zendesk,709120,https://nium2956.zendesk.com/agent/tickets/709120,Post Funding credit - ENBD EUR,multicurrency-accounts-wallets,Multicurrency Accounts and Wallets,0.695,,
1284,zendesk,707375,https://nium2956.zendesk.com/agent/tickets/707375,Re: Masspay: Request for Information,caas,CaaS,0.6942,,
918,zendesk,708618,https://nium2956.zendesk.com/agent/tickets/708618,[Rippling] SEK / 0859 / 732253977117 2025-08-29 - 3 payment orders have been sent to you,fx-service,FX Service,0.6579,,
1572,zendesk,708436,https://nium2956.zendesk.com/agent/tickets/708436,How do I close my Instarem account?,customer-onboarding,Customer Onboarding,0.6875,,
659,zendesk,708653,https://nium2956.zendesk.com/agent/tickets/708653,Retry- 29-08-2025,payouts-reliability-api,Payouts Reliability and API Experience,0.6625,,
1310,zendesk,710594,https://nium2956.zendesk.com/agent/tickets/710594,[HIGH] NIUM Travel - Suspicious card spend activity - hyperguestuk - ruleId_NT12,b2b-travel,B2B Travel,0.6828,,
503,zendesk,706815,https://nium2956.zendesk.com/agent/tickets/706815,SG - CIN87992770 - IN28753693 funds deposited,multicurrency-accounts-wallets,Multicurrency Accounts and Wallets,0.6883,,
769,zendesk,708732,https://nium2956.zendesk.com/agent/tickets/708732,NIUM - Request for Information - Rippling Payments Inc FI SG - 732250141085,platform-issuing,Platform Issuing,0.6824,,
481,zendesk,708383,https://nium2956.zendesk.com/agent/tickets/708383,Pan Asia Software Solutions Sdn Bhd - Funding,platform-issuing,Platform Issuing,0.6827,,
1380,zendesk,709235,https://nium2956.zendesk.com/agent/tickets/709235,2025-08-30 BOL Instant Closing Balance,caas,CaaS,0.6665,,
497,zendesk,707282,https://nium2956.zendesk.com/agent/tickets/707282,Need Correlation ID - IDFC,payouts-reliability-api,Payouts Reliability and API Experience,0.6738,,
408,zendesk,708168,https://nium2956.zendesk.com/agent/tickets/708168,Ticket Number 29222914659 : 3 RTGS Inward,multicurrency-accounts-wallets,Multicurrency Accounts and Wallets,0.6985,,
